id_employe,nom,prenom,poste,nom_departement,date_embauche,date_depart,salaire,statut,cohorte_embauche,anciennete_annees,score_moyen,categorie_performance
278,Nom_278,Prenom_278,Developpeur,Ressources Humaines,2019-10-21,,1006,Actif,2019,6.74,74.8,Moyen
307,Nom_307,Prenom_307,Developpeur,Ressources Humaines,2023-07-22,,1264,Actif,2023,2.99,74.7,Moyen
315,Nom_315,Prenom_315,Manager,Ressources Humaines,2022-12-09,,1724,Actif,2022,3.6,79.3,Eleve
321,Nom_321,Prenom_321,RH,Ressources Humaines,2019-12-12,,3123,Actif,2019,6.6,68.8,Faible
323,Nom_323,Prenom_323,Analyste,Ressources Humaines,2021-10-13,,3575,Actif,2021,4.76,73.0,Moyen
329,Nom_329,Prenom_329,Developpeur,Ressources Humaines,2019-09-11,,2742,Actif,2019,6.85,71.8,Faible
331,Nom_331,Prenom_331,Manager,Ressources Humaines,2020-03-28,2020-12-14,991,Parti,2020,0.71,69.9,Faible
332,Nom_332,Prenom_332,Manager,Ressources Humaines,2021-11-26,,1703,Actif,2021,4.64,73.5,Moyen
335,Nom_335,Prenom_335,Analyste,Ressources Humaines,2019-01-09,,1449,Actif,2019,7.52,83.5,Eleve
340,Nom_340,Prenom_340,Manager,Ressources Humaines,2019-07-27,,4931,Actif,2019,6.97,74.2,Moyen
347,Nom_347,Prenom_347,Manager,Ressources Humaines,2020-09-19,,2679,Actif,2020,5.82,67.3,Faible
349,Nom_349,Prenom_349,Developpeur,Ressources Humaines,2023-07-07,2027-06-10,4513,Parti,2023,3.93,68.3,Faible
358,Nom_358,Prenom_358,RH,Ressources Humaines,2019-04-09,,3999,Actif,2019,7.27,74.5,Moyen
364,Nom_364,Prenom_364,RH,Ressources Humaines,2021-04-01,,3582,Actif,2021,5.29,71.3,Faible
373,Nom_373,Prenom_373,Manager,Ressources Humaines,2022-07-24,,2953,Actif,2022,3.98,76.3,Moyen
379,Nom_379,Prenom_379,Finance,Ressources Humaines,2020-02-05,,4935,Actif,2020,6.44,72.5,Faible
386,Nom_386,Prenom_386,Analyste,Ressources Humaines,2022-10-30,,1026,Actif,2022,3.71,74.2,Moyen
387,Nom_387,Prenom_387,Finance,Ressources Humaines,2021-11-11,,4943,Actif,2021,4.68,69.1,Faible
413,Nom_413,Prenom_413,Finance,Ressources Humaines,2021-12-08,,3585,Actif,2021,4.61,75.4,Moyen
416,Nom_416,Prenom_416,Analyste,Ressources Humaines,2022-04-10,,3094,Actif,2022,4.27,79.0,Eleve
421,Nom_421,Prenom_421,Manager,Ressources Humaines,2022-10-28,,4482,Actif,2022,3.72,69.9,Faible
447,Nom_447,Prenom_447,RH,Ressources Humaines,2020-07-19,,2599,Actif,2020,5.99,65.9,Faible
457,Nom_457,Prenom_457,Manager,Ressources Humaines,2023-07-21,2026-08-27,3873,Parti,2023,3.1,71.6,Faible
458,Nom_458,Prenom_458,Developpeur,Ressources Humaines,2019-06-04,,3605,Actif,2019,7.12,73.3,Moyen
464,Nom_464,Prenom_464,Analyste,Ressources Humaines,2019-09-03,,1297,Actif,2019,6.87,67.3,Faible
465,Nom_465,Prenom_465,Manager,Ressources Humaines,2022-04-14,2027-01-13,2556,Parti,2022,4.75,75.8,Moyen
473,Nom_473,Prenom_473,RH,Ressources Humaines,2020-06-08,2022-06-27,4235,Parti,2020,2.05,69.9,Faible
475,Nom_475,Prenom_475,Manager,Ressources Humaines,2023-03-10,,2648,Actif,2023,3.35,75.7,Moyen
501,Nom_501,Prenom_501,Manager,Ressources Humaines,2019-11-10,,1223,Actif,2019,6.68,77.1,Eleve
503,Nom_503,Prenom_503,Analyste,Ressources Humaines,2022-09-27,,2391,Actif,2022,3.8,73.7,Moyen
509,Nom_509,Prenom_509,RH,Ressources Humaines,2021-12-13,,2986,Actif,2021,4.59,70.9,Faible
520,Nom_520,Prenom_520,RH,Ressources Humaines,2022-01-31,,4018,Actif,2022,4.46,77.0,Eleve
526,Nom_526,Prenom_526,Finance,Ressources Humaines,2022-10-05,,4597,Actif,2022,3.78,75.4,Moyen
532,Nom_532,Prenom_532,Finance,Ressources Humaines,2019-09-26,,3976,Actif,2019,6.81,73.8,Moyen
546,Nom_546,Prenom_546,Analyste,Ressources Humaines,2023-02-06,,4158,Actif,2023,3.44,83.3,Eleve
559,Nom_559,Prenom_559,Analyste,Ressources Humaines,2023-07-20,,4154,Actif,2023,2.99,81.5,Eleve
565,Nom_565,Prenom_565,Developpeur,Ressources Humaines,2021-06-15,,4982,Actif,2021,5.09,77.9,Eleve
575,Nom_575,Prenom_575,Analyste,Ressources Humaines,2019-06-03,,2844,Actif,2019,7.12,78.9,Eleve
581,Nom_581,Prenom_581,RH,Ressources Humaines,2022-08-01,,1774,Actif,2022,3.96,82.7,Eleve
592,Nom_592,Prenom_592,Developpeur,Ressources Humaines,2021-06-30,,1329,Actif,2021,5.05,77.0,Eleve
593,Nom_593,Prenom_593,Manager,Ressources Humaines,2019-08-06,,4859,Actif,2019,6.95,66.0,Faible
594,Nom_594,Prenom_594,Developpeur,Ressources Humaines,2020-04-18,,3573,Actif,2020,6.25,76.3,Moyen
595,Nom_595,Prenom_595,RH,Ressources Humaines,2020-03-07,,2486,Actif,2020,6.36,75.3,Moyen
621,Nom_621,Prenom_621,Finance,Ressources Humaines,2019-12-02,,1414,Actif,2019,6.62,75.5,Moyen
626,Nom_626,Prenom_626,Developpeur,Ressources Humaines,2019-06-09,,1696,Actif,2019,7.1,66.7,Faible
630,Nom_630,Prenom_630,RH,Ressources Humaines,2020-11-20,,3232,Actif,2020,5.65,71.1,Faible
636,Nom_636,Prenom_636,Analyste,Ressources Humaines,2022-12-21,,1477,Actif,2022,3.57,80.2,Eleve
654,Nom_654,Prenom_654,Finance,Ressources Humaines,2021-04-28,,1815,Actif,2021,5.22,75.1,Moyen
674,Nom_674,Prenom_674,Manager,Ressources Humaines,2022-07-24,,2435,Actif,2022,3.98,82.0,Eleve
675,Nom_675,Prenom_675,Analyste,Ressources Humaines,2021-10-17,2024-01-17,2498,Parti,2021,2.25,72.4,Faible
685,Nom_685,Prenom_685,Finance,Ressources Humaines,2023-04-21,,2756,Actif,2023,3.24,84.5,Eleve
711,Nom_711,Prenom_711,RH,Ressources Humaines,2019-06-26,2020-02-22,4481,Parti,2019,0.66,79.3,Eleve
713,Nom_713,Prenom_713,RH,Ressources Humaines,2020-01-31,2021-12-25,1252,Parti,2020,1.9,76.2,Moyen
719,Nom_719,Prenom_719,Analyste,Ressources Humaines,2023-12-25,,3964,Actif,2023,2.56,72.4,Faible
729,Nom_729,Prenom_729,Finance,Ressources Humaines,2021-12-28,,2035,Actif,2021,4.55,78.3,Eleve
738,Nom_738,Prenom_738,Manager,Ressources Humaines,2022-03-20,,1778,Actif,2022,4.33,68.5,Faible
743,Nom_743,Prenom_743,Finance,Ressources Humaines,2023-09-13,2027-05-19,2016,Parti,2023,3.68,76.2,Moyen
747,Nom_747,Prenom_747,RH,Ressources Humaines,2020-02-02,,1578,Actif,2020,6.45,82.5,Eleve
756,Nom_756,Prenom_756,Analyste,Ressources Humaines,2021-01-20,,1906,Actif,2021,5.49,78.3,Eleve
758,Nom_758,Prenom_758,Finance,Ressources Humaines,2021-10-29,,4046,Actif,2021,4.71,83.8,Eleve
768,Nom_768,Prenom_768,Analyste,Ressources Humaines,2022-04-06,,1816,Actif,2022,4.28,72.3,Faible
789,Nom_789,Prenom_789,Finance,Ressources Humaines,2022-08-17,,2681,Actif,2022,3.92,73.1,Moyen
805,Nom_805,Prenom_805,Analyste,Ressources Humaines,2019-06-22,,3828,Actif,2019,7.07,73.5,Moyen
810,Nom_810,Prenom_810,Developpeur,Ressources Humaines,2021-12-17,,2684,Actif,2021,4.58,73.2,Moyen
822,Nom_822,Prenom_822,Manager,Ressources Humaines,2022-04-29,,4959,Actif,2022,4.22,67.3,Faible
829,Nom_829,Prenom_829,Developpeur,Ressources Humaines,2022-02-14,,1749,Actif,2022,4.42,70.7,Faible
838,Nom_838,Prenom_838,Developpeur,Ressources Humaines,2019-03-21,,1491,Actif,2019,7.32,74.8,Moyen
841,Nom_841,Prenom_841,RH,Ressources Humaines,2019-07-22,,4206,Actif,2019,6.99,80.8,Eleve
854,Nom_854,Prenom_854,Manager,Ressources Humaines,2022-03-12,,2659,Actif,2022,4.35,82.0,Eleve
867,Nom_867,Prenom_867,RH,Ressources Humaines,2021-08-25,,2707,Actif,2021,4.89,72.8,Moyen
892,Nom_892,Prenom_892,Developpeur,Ressources Humaines,2021-07-17,,4842,Actif,2021,5.0,72.8,Moyen
905,Nom_905,Prenom_905,Analyste,Ressources Humaines,2019-09-13,,1644,Actif,2019,6.84,78.3,Eleve
906,Nom_906,Prenom_906,Developpeur,Ressources Humaines,2020-12-09,,1815,Actif,2020,5.6,77.4,Eleve
915,Nom_915,Prenom_915,Analyste,Ressources Humaines,2022-02-16,,3009,Actif,2022,4.41,71.3,Faible
923,Nom_923,Prenom_923,Analyste,Ressources Humaines,2019-06-26,,4279,Actif,2019,7.06,75.8,Moyen
938,Nom_938,Prenom_938,Analyste,Ressources Humaines,2020-02-09,,2508,Actif,2020,6.43,77.5,Eleve
939,Nom_939,Prenom_939,Analyste,Ressources Humaines,2021-04-02,,3486,Actif,2021,5.29,73.3,Moyen
962,Nom_962,Prenom_962,Analyste,Ressources Humaines,2023-01-09,,4666,Actif,2023,3.52,71.2,Faible
971,Nom_971,Prenom_971,Finance,Ressources Humaines,2023-04-24,,3037,Actif,2023,3.23,67.6,Faible
973,Nom_973,Prenom_973,Manager,Ressources Humaines,2019-09-07,,1735,Actif,2019,6.86,73.4,Moyen
1004,Nom_1004,Prenom_1004,Manager,Ressources Humaines,2019-04-08,,1042,Actif,2019,7.27,73.9,Moyen
1007,Nom_1007,Prenom_1007,RH,Ressources Humaines,2021-05-08,2026-09-29,1452,Parti,2021,5.39,77.2,Eleve
1014,Nom_1014,Prenom_1014,Finance,Ressources Humaines,2021-09-10,,3058,Actif,2021,4.85,74.4,Moyen
1017,Nom_1017,Prenom_1017,Developpeur,Ressources Humaines,2020-06-25,,4071,Actif,2020,6.06,74.5,Moyen
1024,Nom_1024,Prenom_1024,Analyste,Ressources Humaines,2021-06-18,,3599,Actif,2021,5.08,72.1,Faible
1026,Nom_1026,Prenom_1026,Developpeur,Ressources Humaines,2019-07-03,,4845,Actif,2019,7.04,72.0,Faible
1037,Nom_1037,Prenom_1037,Manager,Ressources Humaines,2019-07-24,,2266,Actif,2019,6.98,73.5,Moyen
1038,Nom_1038,Prenom_1038,Manager,Ressources Humaines,2019-05-06,,4757,Actif,2019,7.2,75.4,Moyen
1074,Nom_1074,Prenom_1074,Analyste,Ressources Humaines,2019-08-21,,2573,Actif,2019,6.9,81.2,Eleve
1087,Nom_1087,Prenom_1087,RH,Ressources Humaines,2019-08-27,2022-05-13,2264,Parti,2019,2.71,69.2,Faible
1134,Nom_1134,Prenom_1134,RH,Ressources Humaines,2020-04-29,,2347,Actif,2020,6.21,79.7,Eleve
1140,Nom_1140,Prenom_1140,Finance,Ressources Humaines,2019-03-27,,1204,Actif,2019,7.31,71.5,Faible
1144,Nom_1144,Prenom_1144,Finance,Ressources Humaines,2020-06-20,,1984,Actif,2020,6.07,75.6,Moyen
1151,Nom_1151,Prenom_1151,Finance,Ressources Humaines,2019-03-08,,1073,Actif,2019,7.36,72.0,Faible
1152,Nom_1152,Prenom_1152,Finance,Ressources Humaines,2019-08-21,,3106,Actif,2019,6.9,82.0,Eleve
1156,Nom_1156,Prenom_1156,RH,Ressources Humaines,2019-08-16,,1221,Actif,2019,6.92,75.8,Moyen
1163,Nom_1163,Prenom_1163,RH,Ressources Humaines,2021-01-17,,2249,Actif,2021,5.49,75.7,Moyen
1168,Nom_1168,Prenom_1168,RH,Ressources Humaines,2023-03-22,,4781,Actif,2023,3.32,78.6,Eleve
1178,Nom_1178,Prenom_1178,Developpeur,Ressources Humaines,2022-08-05,,1279,Actif,2022,3.95,72.2,Faible
1179,Nom_1179,Prenom_1179,Finance,Ressources Humaines,2022-12-31,,4314,Actif,2022,3.54,70.3,Faible
1181,Nom_1181,Prenom_1181,Analyste,Ressources Humaines,2019-10-04,2021-10-08,4122,Parti,2019,2.01,84.0,Eleve
1182,Nom_1182,Prenom_1182,Analyste,Ressources Humaines,2023-09-30,,4678,Actif,2023,2.8,65.4,Faible
1188,Nom_1188,Prenom_1188,Finance,Ressources Humaines,2021-04-22,,3195,Actif,2021,5.23,71.4,Faible
1194,Nom_1194,Prenom_1194,Finance,Ressources Humaines,2022-03-06,,1388,Actif,2022,4.36,77.5,Eleve
1202,Nom_1202,Prenom_1202,Finance,Ressources Humaines,2021-07-08,,1356,Actif,2021,5.02,76.8,Eleve
1203,Nom_1203,Prenom_1203,Manager,Ressources Humaines,2022-05-31,,3887,Actif,2022,4.13,73.8,Moyen
1207,Nom_1207,Prenom_1207,Finance,Ressources Humaines,2023-10-22,,4699,Actif,2023,2.74,76.5,Eleve
1236,Nom_1236,Prenom_1236,Developpeur,Ressources Humaines,2019-05-20,,2669,Actif,2019,7.16,78.3,Eleve
1237,Nom_1237,Prenom_1237,Developpeur,Ressources Humaines,2020-07-12,,2619,Actif,2020,6.01,71.6,Faible
1240,Nom_1240,Prenom_1240,RH,Ressources Humaines,2020-10-15,2023-09-21,2142,Parti,2020,2.93,69.8,Faible
1242,Nom_1242,Prenom_1242,Analyste,Ressources Humaines,2023-04-23,,1879,Actif,2023,3.23,81.6,Eleve
1248,Nom_1248,Prenom_1248,Finance,Ressources Humaines,2021-06-20,,3769,Actif,2021,5.07,82.4,Eleve
1257,Nom_1257,Prenom_1257,Manager,Ressources Humaines,2023-07-24,,1166,Actif,2023,2.98,76.3,Eleve
1275,Nom_1275,Prenom_1275,Manager,Ressources Humaines,2023-01-22,,4534,Actif,2023,3.48,77.4,Eleve
1286,Nom_1286,Prenom_1286,Manager,Ressources Humaines,2021-05-22,,926,Actif,2021,5.15,78.9,Eleve
1287,Nom_1287,Prenom_1287,Analyste,Ressources Humaines,2022-06-06,,1991,Actif,2022,4.11,70.8,Faible
1318,Nom_1318,Prenom_1318,RH,Ressources Humaines,2019-05-25,,1481,Actif,2019,7.15,70.8,Faible
1324,Nom_1324,Prenom_1324,Developpeur,Ressources Humaines,2019-04-14,2023-11-30,2956,Parti,2019,4.63,75.8,Moyen
1338,Nom_1338,Prenom_1338,Analyste,Ressources Humaines,2020-04-22,,4202,Actif,2020,6.23,76.9,Eleve
1339,Nom_1339,Prenom_1339,Analyste,Ressources Humaines,2022-06-08,,3096,Actif,2022,4.11,78.1,Eleve
1342,Nom_1342,Prenom_1342,Analyste,Ressources Humaines,2019-06-06,,1898,Actif,2019,7.11,67.4,Faible
1346,Nom_1346,Prenom_1346,Manager,Ressources Humaines,2021-10-17,2024-08-04,2048,Parti,2021,2.8,67.8,Faible
1353,Nom_1353,Prenom_1353,Developpeur,Ressources Humaines,2020-08-20,,3276,Actif,2020,5.91,78.7,Eleve
1367,Nom_1367,Prenom_1367,Finance,Ressources Humaines,2022-03-26,,2868,Actif,2022,4.31,64.3,Faible
1375,Nom_1375,Prenom_1375,Manager,Ressources Humaines,2019-05-10,,2579,Actif,2019,7.19,77.6,Eleve
1379,Nom_1379,Prenom_1379,Analyste,Ressources Humaines,2021-01-24,,3468,Actif,2021,5.48,74.3,Moyen
1387,Nom_1387,Prenom_1387,Finance,Ressources Humaines,2021-05-21,,1422,Actif,2021,5.16,69.7,Faible
1399,Nom_1399,Prenom_1399,RH,Ressources Humaines,2023-06-28,,1348,Actif,2023,3.05,77.8,Eleve
1405,Nom_1405,Prenom_1405,Manager,Ressources Humaines,2023-06-28,,1371,Actif,2023,3.05,74.9,Moyen
1410,Nom_1410,Prenom_1410,Finance,Ressources Humaines,2019-12-22,,1974,Actif,2019,6.57,74.8,Moyen
1411,Nom_1411,Prenom_1411,Analyste,Ressources Humaines,2021-10-04,,4540,Actif,2021,4.78,69.3,Faible
1437,Nom_1437,Prenom_1437,Developpeur,Ressources Humaines,2022-04-20,,3063,Actif,2022,4.24,65.9,Faible
1443,Nom_1443,Prenom_1443,Manager,Ressources Humaines,2021-07-24,,3152,Actif,2021,4.98,69.8,Faible
1448,Nom_1448,Prenom_1448,RH,Ressources Humaines,2022-03-06,,2555,Actif,2022,4.36,68.0,Faible
1459,Nom_1459,Prenom_1459,Manager,Ressources Humaines,2019-03-16,,3997,Actif,2019,7.34,80.7,Eleve
1475,Nom_1475,Prenom_1475,Finance,Ressources Humaines,2022-04-18,,990,Actif,2022,4.25,69.2,Faible
1479,Nom_1479,Prenom_1479,Manager,Ressources Humaines,2019-06-26,,4629,Actif,2019,7.06,70.1,Faible
1480,Nom_1480,Prenom_1480,Developpeur,Ressources Humaines,2019-10-12,2024-12-27,1415,Parti,2019,5.21,87.8,Eleve
1493,Nom_1493,Prenom_1493,Manager,Ressources Humaines,2019-05-28,,4303,Actif,2019,7.14,67.7,Faible
4,Nom_4,Prenom_4,Manager,Finance,2023-01-22,,4118,Actif,2023,3.48,71.1,Faible
15,Nom_15,Prenom_15,Developpeur,Finance,2023-02-24,,3779,Actif,2023,3.39,73.8,Moyen
22,Nom_22,Prenom_22,Finance,Finance,2022-03-30,,4782,Actif,2022,4.3,76.2,Moyen
25,Nom_25,Prenom_25,Developpeur,Finance,2019-01-22,,936,Actif,2019,7.48,80.9,Eleve
30,Nom_30,Prenom_30,RH,Finance,2020-04-19,,3042,Actif,2020,6.24,68.4,Faible
33,Nom_33,Prenom_33,Analyste,Finance,2023-09-02,2028-08-03,1745,Parti,2023,4.92,75.3,Moyen
35,Nom_35,Prenom_35,Manager,Finance,2020-11-30,,3777,Actif,2020,5.63,73.8,Moyen
63,Nom_63,Prenom_63,Analyste,Finance,2022-09-25,,3272,Actif,2022,3.81,73.5,Moyen
77,Nom_77,Prenom_77,RH,Finance,2021-10-18,,1183,Actif,2021,4.74,70.3,Faible
93,Nom_93,Prenom_93,Analyste,Finance,2020-03-31,,3182,Actif,2020,6.29,78.3,Eleve
97,Nom_97,Prenom_97,Developpeur,Finance,2021-10-13,,4604,Actif,2021,4.76,81.8,Eleve
101,Nom_101,Prenom_101,Finance,Finance,2020-12-20,,4935,Actif,2020,5.57,66.8,Faible
120,Nom_120,Prenom_120,Developpeur,Finance,2023-02-04,,4185,Actif,2023,3.45,74.0,Moyen
132,Nom_132,Prenom_132,Developpeur,Finance,2019-08-19,,3772,Actif,2019,6.91,75.1,Moyen
139,Nom_139,Prenom_139,Manager,Finance,2021-07-18,,2612,Actif,2021,5.0,73.6,Moyen
143,Nom_143,Prenom_143,Manager,Finance,2020-02-11,,2293,Actif,2020,6.43,74.5,Moyen
147,Nom_147,Prenom_147,Manager,Finance,2019-04-09,,4316,Actif,2019,7.27,71.1,Faible
158,Nom_158,Prenom_158,Manager,Finance,2022-05-26,,3147,Actif,2022,4.14,69.6,Faible
161,Nom_161,Prenom_161,Finance,Finance,2020-02-02,,4601,Actif,2020,6.45,75.5,Moyen
171,Nom_171,Prenom_171,Analyste,Finance,2023-05-18,,4093,Actif,2023,3.16,76.4,Eleve
172,Nom_172,Prenom_172,Analyste,Finance,2021-05-13,2024-01-30,4788,Parti,2021,2.72,73.5,Moyen
200,Nom_200,Prenom_200,Analyste,Finance,2021-11-17,,4375,Actif,2021,4.66,76.3,Moyen
205,Nom_205,Prenom_205,RH,Finance,2022-09-16,,4639,Actif,2022,3.83,78.7,Eleve
254,Nom_254,Prenom_254,Finance,Finance,2020-10-03,,3761,Actif,2020,5.79,75.1,Moyen
262,Nom_262,Prenom_262,Finance,Finance,2023-07-20,,1370,Actif,2023,2.99,75.8,Moyen
276,Nom_276,Prenom_276,Developpeur,Finance,2020-02-05,2023-10-13,4800,Parti,2020,3.69,70.9,Faible
302,Nom_302,Prenom_302,RH,Finance,2022-03-17,,3002,Actif,2022,4.33,75.0,Moyen
304,Nom_304,Prenom_304,Finance,Finance,2023-10-01,,3059,Actif,2023,2.79,69.5,Faible
314,Nom_314,Prenom_314,Developpeur,Finance,2019-05-31,,3935,Actif,2019,7.13,78.5,Eleve
375,Nom_375,Prenom_375,Manager,Finance,2023-03-08,,2326,Actif,2023,3.36,77.4,Eleve
376,Nom_376,Prenom_376,Developpeur,Finance,2022-11-16,,3696,Actif,2022,3.67,76.1,Moyen
377,Nom_377,Prenom_377,Manager,Finance,2022-03-04,,3903,Actif,2022,4.37,79.3,Eleve
381,Nom_381,Prenom_381,Manager,Finance,2021-11-22,,1644,Actif,2021,4.65,75.9,Moyen
392,Nom_392,Prenom_392,Developpeur,Finance,2022-10-20,,3677,Actif,2022,3.74,78.1,Eleve
395,Nom_395,Prenom_395,RH,Finance,2023-12-05,2026-02-17,3724,Parti,2023,2.2,79.6,Eleve
398,Nom_398,Prenom_398,Finance,Finance,2019-08-14,,2052,Actif,2019,6.92,70.8,Faible
408,Nom_408,Prenom_408,Developpeur,Finance,2021-03-26,,2245,Actif,2021,5.31,70.6,Faible
412,Nom_412,Prenom_412,Developpeur,Finance,2022-04-30,,2466,Actif,2022,4.21,73.3,Moyen
429,Nom_429,Prenom_429,Finance,Finance,2019-10-29,,3134,Actif,2019,6.72,70.8,Faible
437,Nom_437,Prenom_437,RH,Finance,2019-09-10,,3564,Actif,2019,6.85,70.7,Faible
450,Nom_450,Prenom_450,RH,Finance,2020-11-16,,1934,Actif,2020,5.66,78.5,Eleve
462,Nom_462,Prenom_462,Finance,Finance,2022-02-01,2023-04-11,1670,Parti,2022,1.19,76.3,Moyen
469,Nom_469,Prenom_469,Finance,Finance,2021-01-28,,2447,Actif,2021,5.46,72.7,Faible
476,Nom_476,Prenom_476,Manager,Finance,2021-06-21,2022-04-08,3496,Parti,2021,0.8,81.9,Eleve
486,Nom_486,Prenom_486,Analyste,Finance,2020-04-15,,4108,Actif,2020,6.25,67.8,Faible
499,Nom_499,Prenom_499,Developpeur,Finance,2022-02-22,,2548,Actif,2022,4.4,77.9,Eleve
510,Nom_510,Prenom_510,Manager,Finance,2021-09-29,,1616,Actif,2021,4.8,76.2,Moyen
517,Nom_517,Prenom_517,RH,Finance,2021-09-30,,2842,Actif,2021,4.79,67.5,Faible
529,Nom_529,Prenom_529,Manager,Finance,2021-04-02,,2905,Actif,2021,5.29,78.1,Eleve
534,Nom_534,Prenom_534,Developpeur,Finance,2020-09-27,,3547,Actif,2020,5.8,79.1,Eleve
552,Nom_552,Prenom_552,RH,Finance,2023-07-23,,3849,Actif,2023,2.98,78.4,Eleve
580,Nom_580,Prenom_580,Developpeur,Finance,2020-11-27,,3725,Actif,2020,5.63,72.8,Moyen
584,Nom_584,Prenom_584,Manager,Finance,2021-12-06,,1688,Actif,2021,4.61,79.6,Eleve
602,Nom_602,Prenom_602,Manager,Finance,2019-12-23,,2852,Actif,2019,6.57,75.9,Moyen
610,Nom_610,Prenom_610,Developpeur,Finance,2022-05-31,,3599,Actif,2022,4.13,86.5,Eleve
618,Nom_618,Prenom_618,Manager,Finance,2020-05-30,,1531,Actif,2020,6.13,78.3,Eleve
639,Nom_639,Prenom_639,RH,Finance,2023-05-20,,4558,Actif,2023,3.16,71.0,Faible
643,Nom_643,Prenom_643,RH,Finance,2023-04-29,,965,Actif,2023,3.22,70.5,Faible
649,Nom_649,Prenom_649,Manager,Finance,2022-06-30,,4380,Actif,2022,4.05,70.4,Faible
652,Nom_652,Prenom_652,RH,Finance,2019-02-04,,3262,Actif,2019,7.45,72.2,Faible
656,Nom_656,Prenom_656,Finance,Finance,2021-02-14,,1883,Actif,2021,5.42,76.2,Moyen
659,Nom_659,Prenom_659,Developpeur,Finance,2023-06-14,,3876,Actif,2023,3.09,70.8,Faible
660,Nom_660,Prenom_660,RH,Finance,2021-10-18,,1785,Actif,2021,4.74,73.8,Moyen
663,Nom_663,Prenom_663,Developpeur,Finance,2020-09-08,,3418,Actif,2020,5.85,71.6,Faible
695,Nom_695,Prenom_695,Finance,Finance,2022-10-24,,2380,Actif,2022,3.73,77.0,Eleve
696,Nom_696,Prenom_696,RH,Finance,2023-09-15,2026-09-03,1761,Parti,2023,2.97,72.1,Faible
704,Nom_704,Prenom_704,Manager,Finance,2019-03-03,,4866,Actif,2019,7.37,72.0,Faible
706,Nom_706,Prenom_706,Finance,Finance,2020-12-29,,2281,Actif,2020,5.55,67.5,Faible
707,Nom_707,Prenom_707,RH,Finance,2022-09-27,2024-04-14,4101,Parti,2022,1.55,73.9,Moyen
709,Nom_709,Prenom_709,Analyste,Finance,2020-11-29,,3580,Actif,2020,5.63,74.6,Moyen
716,Nom_716,Prenom_716,RH,Finance,2019-03-17,,2457,Actif,2019,7.33,80.0,Eleve
